		Probabilities of Method_1 pikles
Uni_gene_ID	, OG	, TSG	, Fusion	Class
Hs.158932	,0.0	,1.0	,0.0	, TSG
Hs.187898	,0.0	,1.0	,0.0	, TSG
Hs.194143	,0.1	,0.9	,0.0	, TSG
Hs.195364	,0.0	,1.0	,0.0	, TSG
Hs.211600	,0.0	,1.0	,0.0	, TSG
Hs.238990	,0.0	,1.0	,0.0	, TSG
Hs.285354	,0.07	,0.79	,0.14	, TSG
Hs.31968	,0.2	,0.8	,0.0	, TSG
Hs.327527	,0.24	,0.76	,0.0	, TSG
Hs.343571	,0.18	,0.82	,0.0	, TSG
Hs.368367	,0.09	,0.89	,0.03	, TSG
Hs.378996	,0.01	,0.99	,0.0	, TSG
Hs.404089	,0.16	,0.84	,0.0	, TSG
Hs.408528	,0.01	,0.99	,0.0	, TSG
Hs.416108	,0.2	,0.8	,0.0	, TSG
Hs.423348	,0.0	,1.0	,0.0	, TSG
Hs.430589	,0.0	,1.0	,0.0	, TSG
Hs.434375	,0.08	,0.92	,0.0	, TSG
Hs.436142	,0.0	,1.0	,0.0	, TSG
Hs.444664	,0.0	,1.0	,0.0	, TSG
Hs.445052	,0.0	,1.0	,0.0	, TSG
Hs.461086	,0.09	,0.91	,0.0	, TSG
Hs.465870	,0.04	,0.96	,0.0	, TSG
Hs.467192	,0.0	,1.0	,0.0	, TSG
Hs.470174	,0.0	,1.0	,0.0	, TSG
Hs.505297	,0.11	,0.89	,0.0	, TSG
Hs.513645	,0.5	,0.5	,0.0	, ONGO_TSG
Hs.515840	,0.14	,0.86	,0.0	, TSG
Hs.517792	,0.04	,0.96	,0.0	, TSG
Hs.517941	,0.08	,0.92	,0.0	, TSG
Hs.525324	,0.13	,0.87	,0.0	, TSG
Hs.534255	,0.02	,0.98	,0.01	, TSG
Hs.592082	,0.0	,1.0	,0.0	, TSG
Hs.592490	,0.0	,1.0	,0.0	, TSG
Hs.597413	,0.53	,0.47	,0.0	, ONGO_TSG
Hs.597656	,0.0	,1.0	,0.0	, TSG
Hs.599762	,0.19	,0.77	,0.04	, TSG
Hs.624291	,0.06	,0.94	,0.0	, TSG
Hs.624663	,0.03	,0.97	,0.0	, TSG
Hs.632050	,0.25	,0.75	,0.0	, ONGO_TSG
Hs.647120	,0.0	,1.0	,0.0	, TSG
Hs.653797	,0.23	,0.77	,0.0	, TSG
Hs.654514	,0.02	,0.98	,0.0	, TSG
Hs.667309	,0.0	,1.0	,0.0	, TSG
Hs.682060	,0.2	,0.8	,0.0	, TSG
Hs.715590	,0.0	,1.0	,0.0	, TSG
Hs.717081	,0.0	,1.0	,0.0	, TSG
Hs.725208	,0.01	,0.99	,0.0	, TSG
Hs.729457	,0.25	,0.75	,0.0	, TSG
Hs.734132	,0.35	,0.63	,0.03	, ONGO_TSG
Hs.734413	,0.07	,0.93	,0.0	, TSG
Hs.740407	,0.02	,0.98	,0.0	, TSG
Hs.741342	,0.0	,0.68	,0.31	, TSG_Fusion
Hs.742270	,0.0	,1.0	,0.0	, TSG
Hs.743263	,0.05	,0.95	,0.0	, TSG
Hs.744461	,0.0	,1.0	,0.0	, TSG
Hs.744843	,0.0	,1.0	,0.0	, TSG
Hs.75862	,0.0	,1.0	,0.0	, TSG
Hs.82028	,0.05	,0.95	,0.0	, TSG
Hs.87889	,0.0	,1.0	,0.0	, TSG
