Protein,OG,TSG,Fusion,Label
121P,1,1.69E-08,1.20E-08,OG
1A07,0.999997497,2.49E-06,4.80E-08,OG
1A08,1,1.94E-12,3.52E-13,OG
1A09,0.999996722,3.18E-06,1.16E-07,OG
1A1A,0.999999583,3.55E-07,7.07E-08,OG
1A1B,0.999996603,3.38E-06,5.17E-09,OG
1A1C,0.999997377,2.64E-06,2.25E-09,OG
1A1E,0.999999583,1.50E-07,2.68E-07,OG
1AGP,0.990056336,0.00994235,1.31E-06,OG
1AUE,0.999999106,2.14E-07,6.72E-07,OG
1BKD,0.99999994,4.83E-08,1.38E-08,OG
1BQU,0.999987125,9.56E-06,3.29E-06,OG
1CLU,0.999982893,1.62E-05,8.71E-07,OG
1CTQ,0.99999994,4.66E-08,4.91E-10,OG
1E3G,0.999997914,2.07E-06,3.25E-08,OG
1E96,0.999976158,1.32E-05,1.06E-05,OG
1FAP,0.999999225,3.76E-08,7.47E-07,OG
1FMK,0.999893606,9.88E-05,7.60E-06,OG
1FOE,0.991312802,0.004785734,0.003901462,OG
1G4U,0.999823332,0.000176639,1.34E-08,OG
1GNP,0.999509454,0.000490556,1.86E-08,OG
1GNQ,1,1.24E-08,9.99E-12,OG
1GNR,0.999998808,1.12E-06,8.72E-08,OG
1GS4,0.999999344,6.39E-07,3.03E-08,OG
1GZK,0.999983072,7.33E-06,9.61E-06,OG
1GZN,0.99995333,3.95E-05,7.20E-06,OG
1GZO,0.999998927,8.82E-07,1.91E-07,OG
1H10,0.998776615,0.001185663,3.77E-05,OG
1HE1,0.979911923,0.017823553,0.002264534,OG
1HE8,0.999465287,6.78E-05,0.000466987,OG
1HH4,0.999998987,9.82E-07,4.78E-08,OG
1I1R,0.999291897,0.000701845,6.28E-06,OG
1I4D,0.995839655,1.14E-05,0.004148994,OG
1I4L,0.996177018,0.00380346,1.95E-05,OG
1I4T,0.99999696,2.32E-06,7.01E-07,OG
1IAQ,0.999999285,6.83E-07,4.66E-09,OG
1IOZ,0.998418331,0.001581536,1.25E-07,OG
1IVO,0.999999702,2.77E-07,2.39E-08,OG
1JAH,0.999999762,2.41E-07,3.81E-09,OG
1JAI,0.999589026,0.00041096,2.52E-08,OG
1JMT,1,1.03E-08,6.36E-09,OG
1K8R,0.999987543,1.18E-05,6.82E-07,OG
1KSW,0.999999881,1.35E-07,1.02E-08,OG
1LF0,0.99999994,6.52E-08,1.65E-08,OG
1LF5,0.99979049,3.32E-05,0.000176294,OG
1LFD,0.999583125,0.000413666,3.19E-06,OG
1M14,0.999999881,1.23E-09,1.13E-07,OG
1M17,0.999999821,1.89E-07,3.07E-10,OG
1M6B,0.999999881,6.15E-09,8.72E-08,OG
1MH1,0.999999821,3.75E-08,1.53E-07,OG
1MOX,0.799468279,0.075139567,0.125392154,OG
1MRV,0.999999583,8.92E-09,3.92E-07,OG
1MRY,0.999998569,1.13E-06,2.85E-07,OG
1NQL,0.999999642,3.08E-07,4.14E-08,OG
1NSG,1,1.07E-09,3.00E-10,OG
1NVU,0.999999762,2.13E-07,4.31E-10,OG
1NVV,0.99767524,0.002187836,0.000136903,OG
1NVW,1,1.20E-08,2.52E-12,OG
1NVX,1,1.51E-09,1.11E-10,OG
1O41,0.99998045,3.30E-07,1.92E-05,OG
1O42,0.999997973,1.71E-06,3.03E-07,OG
1O43,0.999996662,2.60E-06,7.13E-07,OG
1O44,0.999998808,1.17E-06,1.05E-08,OG
1O45,0.999999046,9.18E-07,5.63E-08,OG
1O46,0.999999404,6.32E-08,5.60E-07,OG
1O47,0.999999523,3.68E-07,1.08E-07,OG
1O48,0.999999166,1.24E-07,6.81E-07,OG
1O49,0.999991715,8.18E-06,9.01E-08,OG
1O4A,0.999953926,4.47E-05,1.32E-06,OG
1O4B,0.999988675,9.29E-07,1.04E-05,OG
1O4C,0.999943972,5.56E-05,4.60E-07,OG
1O4D,0.99999994,5.81E-08,1.20E-09,OG
1O4E,0.999999106,1.08E-07,8.12E-07,OG
1O4F,0.999999225,2.86E-07,5.10E-07,OG
1O4G,0.999992549,6.81E-06,6.13E-07,OG
1O4H,0.999999642,1.45E-07,1.92E-07,OG
1O4I,0.999997079,1.35E-06,1.60E-06,OG
1O4J,0.999996662,3.25E-06,6.76E-08,OG
1O4K,0.999999821,8.45E-08,9.20E-08,OG
