Protein,OG,TSG,Fusion,Label
1BUO,0.000131971,0.000186365,0.999681652,Fusion
1CS3,0.005558623,0.979452491,0.014988882,TSG
1E50,0.918314517,0.081663594,2.19E-05,OG
1FHI,0.00970642,0.990293324,2.29E-07,TSG
1FIT,0.112240955,0.887713969,4.51E-05,TSG
1FM6,0.358722836,0.563835442,0.077441737,TSG
1FM9,0.000337208,0.999545991,0.000116776,TSG
1H9D,0.000960065,0.979829967,0.019209988,TSG
1I7I,0.854102254,0.14426522,0.001632559,OG
1K74,0.437370658,0.49126929,0.071360074,TSG
1KNU,0.917742252,0.082255676,2.06E-06,OG
1NF1,0.016177373,0.983799517,2.31E-05,TSG
1NYX,0.875413477,0.124245249,0.000341297,OG
1PRG,0.007391184,0.992608786,5.33E-08,TSG
1RDT,0.275149673,0.724811673,3.86E-05,TSG
1RRP,0.996522307,0.000124437,0.003353275,OG
1TXD,0.043988544,0.955055952,0.000955506,TSG
1WM0,0.999995947,5.22E-09,4.06E-06,OG
1X86,0.000152131,0.429410189,0.57043767,Fusion
1ZEO,0.055531345,0.019238727,0.925229907,Fusion
1ZGY,0.941702545,0.047151498,0.011145953,OG
2ATH,2.25E-06,6.35E-07,0.999997139,Fusion
2BR9,0.999893785,0.000105692,5.07E-07,OG
2C7S,0.999999821,1.89E-07,9.37E-11,OG
2CXK,0.999997199,2.78E-06,2.86E-09,OG
2D4Q,0.988460004,0.011540006,7.40E-09,OG
2E2X,0.986724377,0.013230228,4.54E-05,OG
2F4B,0.998745143,0.001200236,5.46E-05,OG
2FHI,0.129494339,0.870319605,0.000186086,TSG
2FIT,0.653649092,0.346348166,2.73E-06,OG
2FVJ,0.519355118,0.457538009,0.023106875,OG
2G0G,0.999894321,4.10E-05,6.47E-05,OG
2G0H,0.061127607,2.50E-07,0.938872159,Fusion
2GTK,0.186632514,0.78537941,0.027988078,TSG
2HFP,0.756215394,0.24376227,2.23E-05,OG
2HWQ,1.64E-06,4.82E-05,0.999950111,Fusion
2HWR,0.999826849,0.000114282,5.89E-05,OG
2I4J,0.001188234,0.998404086,0.000407676,TSG
2I4P,0.004127017,0.995613217,0.000259784,TSG
2I4Z,0.167932406,0.078041561,0.754026055,Fusion
2OM9,0.00349302,0.114159942,0.882346988,Fusion
2P4Y,9.26E-05,0.999907196,1.42E-07,TSG
2PL3,0.999954164,2.62E-05,1.96E-05,OG
2POB,0.690798223,0.301375121,0.007826651,OG
2PRG,0.041100498,9.70E-05,0.958802521,Fusion
2Q59,0.002400013,0.992646098,0.004953908,TSG
2Q5P,0.171477005,0.813621402,0.014901604,TSG
2Q5S,0.456875175,0.540590227,0.002534608,TSG
2Q61,0.972982705,0.026770249,0.000247054,OG
2Q6R,1.26E-05,0.281439364,0.718548,Fusion
2Q6S,8.67E-05,0.999855757,5.76E-05,TSG
2Q8S,0.021352423,0.978639722,7.84E-06,TSG
2VSR,0.978791058,0.021072568,0.000136354,OG
2VST,0.989874661,0.010116101,9.21E-06,OG
2VV0,0.990315259,0.009627935,5.68E-05,OG
2VV1,0.109618105,0.884513974,0.005867928,TSG
2VV2,0.208292112,0.761045754,0.030662145,TSG
2VV3,0.045977123,0.946751177,0.007271717,TSG
2VV4,0.981875956,0.018116072,7.98E-06,OG
