Protein,OG,TSG,Fusion,Label
1JV2,0.324463725,0.073386312,0.602149963,Fusion
1K9I,0.990344286,0.003547645,0.006108069,OG
1L5G,0.409864455,0.053050727,0.537084818,Fusion
1M1X,0.411401331,0.0097051,0.578893602,Fusion
1MI1,0.988590956,0.000129814,0.011279241,OG
1N11,0.999786675,0.000213314,7.72E-09,OG
1PQ2,0.041484199,0.958515763,1.93E-08,TSG
1SL4,0.627399087,0.37184459,0.000756325,OG
1SL5,0.00192778,0.998071969,2.34E-07,TSG
1U8C,0.029051946,0.00272957,0.968218505,Fusion
2A72,0.992589474,0.007410505,3.85E-09,OG
2BP3,0.428399324,0.566506028,0.005094664,TSG
2BRQ,0.450539798,0.548928082,0.000532151,TSG
2GSF,0.992048681,1.20E-06,0.007950114,OG
2I0E,0.99999994,5.50E-08,1.38E-09,OG
2IT5,0.968052924,0.002215046,0.02973206,OG
2IT6,0.636475086,0.113326646,0.250198275,OG
2J3S,0.323131382,0.676815808,5.28E-05,TSG
2JF1,0.127002552,0.101628862,0.771368563,Fusion
2NNH,0.924036205,0.002043196,0.0739206,OG
2NNI,0.782311797,0.217681199,7.03E-06,OG
2NNJ,0.9994241,0.000575874,7.95E-09,OG
2QO2,0.916286409,2.20E-07,0.083713382,OG
2QO7,0.99483335,1.19E-06,0.005165461,OG
2QO9,0.898907006,0.101062074,3.09E-05,OG
2QOB,0.999351501,0.000638168,1.03E-05,OG
2QOC,0.023333527,0.976632416,3.41E-05,TSG
2QOD,0.040124312,3.99E-06,0.959871709,Fusion
2QOF,0.175797015,1.51E-06,0.824201465,Fusion
2QOI,0.98238939,3.57E-07,0.017610257,OG
2QOK,0.993531585,7.36E-06,0.006461037,OG
2QOL,0.999702871,0.000218411,7.87E-05,OG
2QON,0.993676662,0.001224997,0.005098324,OG
2QOO,0.295441091,0.000717278,0.703841627,Fusion
2QOQ,0.999972641,8.30E-06,1.90E-05,OG
2REI,0.99994272,2.03E-06,5.53E-05,OG
2VN0,0.985553443,0.014446512,2.96E-08,OG
2W0P,0.999742627,0.000199904,5.75E-05,OG
2WFN,0.271613419,0.675323009,0.053063579,TSG
2XR5,0.008294561,0.991705418,1.34E-09,TSG
2XR6,0.997694969,0.002101037,0.000204019,OG
2YVI,0.169978321,0.830007374,1.43E-05,TSG
3CNK,0.774087906,0.22288385,0.003028241,OG
3DKO,1,1.15E-08,3.61E-10,OG
3DZQ,0.999960721,3.65E-05,2.78E-06,OG
3F59,4.67E-05,0.999953091,2.29E-07,TSG
3FXX,0.934252083,0.06574437,3.58E-06,OG
3FY2,0.998054802,0.001945164,9.11E-09,OG
3HOC,0.996162653,0.003689037,0.000148328,OG
3HOP,0.656882703,0.323863387,0.019253971,OG
3HOR,0.999719501,0.000276801,3.72E-06,OG
3IJE,0.098307386,0.897620738,0.004071897,TSG
3ISW,0.999372423,0.000625584,1.97E-06,OG
3KBT,0.003218618,0.996221542,0.000559826,TSG
3KBU,0.039947961,0.958245993,0.001806054,TSG
3L6X,0.983742177,0.016256008,1.83E-06,OG
3L6Y,0.001394149,0.448953778,0.5496521,Fusion
3NRU,5.80E-05,0.999941945,1.64E-08,TSG
3RGH,0.963663816,0.03632056,1.56E-05,OG
3UD1,0.65190202,0.099731021,0.248366967,OG
3UD2,0.877746344,0.053732295,0.06852138,OG
3ZJY,0.003525708,0.99647373,5.75E-07,TSG
4G1E,0.51698786,0.348111153,0.134901002,OG
4G1M,0.078759544,0.910525739,0.010714696,TSG
4G2F,0.998110354,0.001860862,2.88E-05,OG
4GK2,0.99987042,2.33E-05,0.000106284,OG
4GK3,0.698101461,0.297561109,0.004337416,OG
4GK4,0.964875162,0.035124816,1.75E-08,OG
4KZY,0.131656647,0.786662757,0.081680611,TSG
4KZZ,0.008245304,0.981623411,0.010131259,TSG
4L0P,0.999851942,0.000147979,8.17E-08,OG
4M9P,0.506591439,0.493406951,1.62E-06,OG
4MMX,0.998324811,0.001134557,0.000540617,OG
4MMY,0.339918107,0.592792034,0.067289859,TSG
4MMZ,0.983680427,0.016227964,9.16E-05,OG
4O02,0.001706736,0.00451573,0.993777514,Fusion
4P3W,0.01157886,0.972880304,0.015540812,TSG
4P4C,0.997859895,0.002139595,4.81E-07,OG
4P5Q,0.999963403,2.99E-05,6.63E-06,OG
4P5Z,0.999766827,5.41E-07,0.000232638,OG
4TWN,0.64331609,0.346500427,0.01018349,OG
4TWO,0.999863803,9.05E-05,4.57E-05,OG
4UM8,7.75E-05,0.999921143,1.34E-06,TSG
4UM9,0.000674226,0.999319017,6.75E-06,TSG
4URT,0.890313268,0.053694833,0.055991881,OG
5FFG,0.129499182,0.87048471,1.61E-05,TSG
5FFO,1.01E-06,0.999998868,1.03E-07,TSG
