Protein,OG,TSG,Fusion,Label
1A2B,0.272373438,5.97E-06,0.727620602,Fusion
1B55,0.03391185,0.804176271,0.16191186,TSG
1BTK,2.14E-09,0.99999994,5.61E-08,TSG
1BWN,0.022020197,0.1807383,0.797241509,Fusion
1CC0,0.010570009,0.984886527,0.004543452,TSG
1CXZ,0.223754138,0.773543477,0.002702375,TSG
1DPF,0.953640997,0.001593192,0.044765811,OG
1ES7,0.000843527,0.000147251,0.999009252,Fusion
1FTN,0.867461681,0.13191238,0.000625928,OG
1H6F,0.99996078,3.88E-05,4.71E-07,OG
1K2P,0.99999994,2.58E-08,6.24E-09,OG
1KMQ,0.996667504,0.000210143,0.003122343,OG
1LB1,0.006740521,0.872393131,0.120866366,TSG
1OW3,0.570418417,0.381325305,0.048256259,OG
1REW,4.50E-05,1.66E-05,0.999938428,Fusion
1S1C,0.999367416,0.0006326,3.23E-09,OG
1TX4,0.016868941,0.179581687,0.803549349,Fusion
1X86,0.000338309,0.63790518,0.361756504,TSG
1XCG,0.214360788,0.785387695,0.000251497,TSG
2AHX,1.18E-06,0.999926507,7.23E-05,TSG
2GOO,0.968496621,0.01367313,0.017830241,OG
2H62,4.12E-05,0.999958694,9.59E-08,TSG
2H64,0.02411508,0.974447668,0.001437259,TSG
2OO4,0.978731394,0.00523309,0.016035521,OG
2QJ9,0.576188803,0.184657797,0.23915343,OG
2QJA,0.805252314,0.002592787,0.192154869,OG
2QJB,0.000214818,0.016625026,0.983160138,Fusion
2R4B,0.009327218,0.990672231,5.69E-07,TSG
2RGN,0.455862433,0.367215216,0.176922336,OG
2Z0P,0.003643853,0.84058553,0.15577063,TSG
3ALN,0.001200536,0.998586416,0.000213058,TSG
3ALO,1,2.12E-08,1.04E-09,OG
3AVR,0.147861078,0.280362755,0.571776152,Fusion
3AVS,0.967466652,0.032516234,1.71E-05,OG
3BBT,0.996448636,6.36E-05,0.003487767,OG
3BBW,0.920228422,3.84E-05,0.079733126,OG
3BCE,0.00153545,0.998260438,0.00020412,TSG
3BKB,0.99998641,6.32E-07,1.29E-05,OG
3CBL,0.397497863,0.176490247,0.42601189,Fusion
3CD3,6.38E-06,0.999992013,1.57E-06,TSG
3EI4,0.15257585,0.843927383,0.003496771,TSG
3EYG,0.89677161,0.10315904,6.94E-05,OG
3EYH,1,2.50E-11,4.73E-15,OG
3F1N,0.999990344,9.65E-06,4.54E-09,OG
3F1O,0.999995649,3.83E-06,5.09E-07,OG
3F1P,0.999999344,6.35E-07,1.13E-08,OG
3GEN,0.999999285,7.14E-07,1.90E-11,OG
3H7W,0.998306096,0.001693891,4.05E-09,OG
3H82,0.002945128,0.992557168,0.004497721,TSG
3K54,0.999995708,3.71E-06,5.83E-07,OG
3KZ1,0.000568176,0.999430716,1.13E-06,TSG
3LW8,0.030868575,0.926992178,0.042139228,TSG
3LWN,1.35E-06,0.999998629,3.18E-09,TSG
3LXR,0.999851108,0.000148901,7.76E-09,OG
3MSX,0.080986075,0.914723635,0.004290305,TSG
3NH7,0.058901433,0.930099249,0.010999307,TSG
3OCS,0.999997556,2.43E-06,2.01E-08,OG
3-Oct,0.99999994,7.49E-08,2.47E-10,OG
3OP0,8.22E-05,0.999881327,3.64E-05,TSG
3P08,0.98893708,0.007574698,0.00348825,OG
3PIX,1,1.18E-12,2.03E-10,OG
3PIY,0.99999994,2.04E-11,3.69E-08,OG
3PIZ,0.999964893,3.50E-05,3.13E-08,OG
3PJ1,0.999999344,6.27E-07,5.84E-10,OG
3PJ2,0.999999881,2.46E-12,9.14E-08,OG
3PJ3,1,4.83E-11,7.57E-10,OG
3QB4,0.000162336,0.999837577,7.79E-08,TSG
3QYM,0.000795664,0.98741591,0.011788432,TSG
3QYN,0.237033516,0.761935234,0.001031261,TSG
3T06,0.114962906,0.883822143,0.001214959,TSG
3U2P,0.726833224,0.273115158,5.16E-05,OG
3U7U,0.00035459,0.998414278,0.001231117,TSG
3U9U,0.022355743,0.955256999,0.022387238,TSG
3US0,0.678606212,0.320243418,0.001150342,OG
3US1,0.991146564,0.008853351,7.14E-08,OG
3US2,0.063540377,0.010870949,0.925588667,Fusion
3VRN,0.223275736,0.761185467,0.015538804,TSG
3VRO,0.996071339,0.002718527,0.001210156,OG
3VRP,0.999945521,2.96E-06,5.15E-05,OG
3VRQ,0.000484248,0.999506652,9.09E-06,TSG
3VRR,0.758865178,0.241129711,5.08E-06,OG
3VUT,0.125971317,0.873917103,0.000111624,TSG
4D0N,0.00228931,0.997140646,0.000570043,TSG
4DYL,0.999985397,1.49E-06,1.31E-05,OG
4E4L,0.995549619,0.002567054,0.001883308,OG
4E4N,0.000293129,0.999706566,3.03E-07,TSG
4E54,1.19E-07,0.999981284,1.86E-05,TSG
4E5W,0.001493828,0.99850297,3.20E-06,TSG
4E5Z,0.001300456,0.98568064,0.013018877,TSG
4E93,0.653880119,0.346114248,5.62E-06,OG
4EHZ,0.047920365,0.84128952,0.110790074,TSG
4EI4,0.017277807,0.982654393,6.78E-05,TSG
4FK6,0.000106996,0.999879599,1.34E-05,TSG
4GHI,0.998254001,0.001740437,5.55E-06,OG
4GS9,0.999045908,0.000954031,6.49E-08,OG
4H9N,0.999313116,0.000682659,4.24E-06,OG
4H9O,0.550717294,0.000258199,0.449024558,OG
4H9P,0.630022824,6.07E-05,0.369916499,OG
4H9Q,0.591046691,0.015248047,0.393705308,OG
4H9R,0.00345805,0.002233405,0.994308531,Fusion
4H9S,0.312435597,0.680233657,0.007330721,TSG
4HC7,0.169081271,0.830913007,5.71E-06,TSG
4HC9,0.997689068,0.000834531,0.001476416,OG
4HCA,0.00771254,0.991556287,0.000731162,TSG
4HGA,0.999135971,0.000790166,7.39E-05,OG
4HPM,0.986690819,0.009058221,0.004250936,OG
4I5C,0.98593986,0.01405012,1.00E-05,OG
4IVB,0.172004551,0.827957749,3.77E-05,TSG
4IVC,0.0002158,0.999784172,1.14E-08,TSG
4IVD,0.018010095,0.981968224,2.17E-05,TSG
4JVH,0.999822497,7.34E-06,0.000170147,OG
4K6Z,0.999999166,8.32E-07,2.20E-10,OG
4K77,0.003107546,0.988398731,0.008493711,TSG
4L00,0.989935994,0.009875421,0.000188567,OG
4L01,0.001381242,0.980687499,0.017931277,TSG
4MI0,0.054510221,0.945488572,1.20E-06,TSG
4MI5,0.994863212,0.005136809,5.33E-09,OG
4NWM,0.99999994,2.96E-08,3.87E-10,OG
4OT5,0.99999994,2.79E-09,4.47E-08,OG
4OT6,1,2.63E-12,5.27E-10,OG
4OTF,0.999940872,5.66E-05,2.52E-06,OG
4OTQ,0.999999583,9.91E-11,4.41E-07,OG
4OTR,0.999999881,1.46E-09,1.10E-07,OG
4PJU,5.64E-06,0.999994338,1.78E-08,TSG
4PJW,0.004844387,0.995155513,1.05E-07,TSG
4PK7,0.000680057,0.988425612,0.010894316,TSG
4PKY,0.999587715,0.000412279,5.83E-09,OG
4RFY,1,6.93E-12,1.51E-10,OG
4RFZ,0.999998629,8.06E-10,1.36E-06,OG
4RG0,0.99999702,1.46E-08,2.98E-06,OG
4RX5,0.999998987,9.08E-07,8.97E-08,OG
4X0P,0.064924762,0.009133263,0.925941944,Fusion
4X0Q,2.49E-05,0.999975085,6.63E-09,TSG
4XH9,0.987600327,0.004592603,0.007807096,OG
4XOI,0.999982178,1.76E-05,1.76E-07,OG
4XSG,0.999969184,3.04E-05,4.61E-07,OG
4XSH,0.39907679,0.594071925,0.00685129,TSG
4XT2,0.694120705,0.305570632,0.000308639,OG
4YHF,0.990822911,0.009177036,4.77E-08,OG
4Z3V,1,6.22E-11,1.26E-13,OG
4Z4P,9.26E-06,0.999988258,2.47E-06,TSG
4ZLY,1,7.20E-11,1.56E-09,OG
4ZLZ,1,3.11E-10,4.39E-10,OG
5A0F,0.001628403,0.95910275,0.039268829,TSG
5A9F,0.999999285,3.26E-07,3.82E-07,OG
5A9J,4.95E-05,0.994523406,0.005427091,TSG
5AGA,0.998463273,3.02E-07,0.001536447,OG
5BPY,0.999999881,4.39E-08,6.21E-08,OG
5BQ0,0.999999464,4.58E-07,7.21E-08,OG
5BWM,0.994377911,0.000429011,0.005193052,OG
5C2K,0.972518504,0.027101409,0.0003801,OG
5C4M,0.747941554,0.251707673,0.000350758,OG
5CQD,3.87E-07,0.999998689,9.26E-07,TSG
5CQH,0.020321997,0.979677677,3.08E-07,TSG
5CQI,0.966115475,0.033884484,1.38E-08,OG
5CQK,0.999938309,5.98E-05,1.94E-06,OG
5D7V,0.272453904,0.687467217,0.040078897,TSG
5DA3,0.999999881,1.34E-07,3.12E-10,OG
5E1E,0.995598435,0.004317988,8.36E-05,OG
5EZ6,0.983913958,0.015723411,0.00036261,OG
5FBN,0.98356086,0.016439136,1.38E-08,OG
5FBO,0.99999994,3.42E-12,3.83E-08,OG
5FR1,0.999281108,8.39E-07,0.000718025,OG
5FR2,0.696141362,0.303851306,7.30E-06,OG
5H2U,0.001008285,0.986730039,0.0122617,TSG
5HPY,0.982958794,0.016011745,0.001029469,OG
5HX8,0.000862989,0.999106526,3.05E-05,TSG
5HYN,0.00626771,0.932385743,0.06134655,TSG
5IRC,0.034686387,0.965306282,7.35E-06,TSG
5IXD,0.978476346,0.021472797,5.08E-05,OG
5IXI,0.999263227,0.000736767,1.55E-08,OG
5J87,0.99304074,0.006951591,7.65E-06,OG
5JCP,0.211705998,0.788061678,0.000232346,TSG
5JH5,0.003493565,0.996262133,0.000244319,TSG
5JHG,0.99980104,0.000193815,5.12E-06,OG
5JHH,0.975935638,0.024063384,9.76E-07,OG
5JRS,1,3.84E-09,1.90E-10,OG
5KDM,0.995317757,0.003526754,0.001155479,OG
5KHW,0.999999762,5.09E-09,2.27E-07,OG
5KHX,0.904437423,0.09556257,3.71E-11,OG
5KUP,0.999969423,3.05E-05,1.01E-07,OG
5L04,0.92513597,0.074849911,1.41E-05,OG
5LST,0.968580663,0.031225318,0.000193992,OG
5M6X,0.865618706,0.13434352,3.78E-05,OG
5M70,0.999958456,2.84E-05,1.31E-05,OG
5MWB,0.92655611,0.073443249,6.63E-07,OG
5P9F,1,2.02E-10,4.54E-09,OG
5P9G,1,3.22E-12,1.46E-13,OG
5P9H,1,1.14E-08,2.20E-10,OG
5P9I,1,9.25E-13,6.98E-11,OG
5P9J,0.999999881,1.20E-09,1.42E-07,OG
5P9K,1,1.27E-14,1.24E-10,OG
5P9L,0.99999994,7.69E-08,7.11E-09,OG
5P9M,0.999776185,0.000219925,3.91E-06,OG
5SXG,0.281250238,0.718738556,1.12E-05,TSG
5SXH,0.484196156,0.515803754,5.36E-08,TSG
5T18,1,4.56E-10,6.30E-13,OG
5TBM,0.999969184,3.07E-05,9.60E-08,OG
5TD5,0.026789891,0.973209262,8.56E-07,TSG
5TKM,0.998376548,0.001593579,2.99E-05,OG
5U9D,1,8.93E-13,1.15E-11,OG
5UFP,0.999969065,3.09E-05,3.51E-08,OG
5UGW,0.969303727,0.015036048,0.015660228,OG
5VGO,0.999993801,5.72E-06,4.76E-07,OG
5WO4,0.433260292,0.566538334,0.000201346,TSG
5Y6O,0.075985841,0.923910499,0.000103653,TSG
6BBU,0.887394786,0.068698585,0.043906648,OG
6BC0,0.003111923,0.996124029,0.000764025,TSG
6BCA,0.996604085,0.003395803,9.56E-08,OG
6BCB,0.475707769,0.032288969,0.492003262,Fusion
