Protein,OG,TSG,Fusion,Label
1A3Q,0.030955968,0.221747816,0.747296214,Fusion
1A52,9.45E-06,0.999988735,1.84E-06,TSG
1B47,2.13E-05,0.999975264,3.37E-06,TSG
1E50,0.964443862,0.035479739,7.64E-05,OG
1ERE,0.00285938,0.8358652,0.161275417,TSG
1ERR,3.88E-05,0.999960542,6.40E-07,TSG
1FBV,0.999437273,0.000559092,3.62E-06,OG
1G50,3.43E-05,0.953589618,0.046376135,TSG
1GWQ,0.007930672,0.885696828,0.106372491,TSG
1GWR,0.000334445,0.998689055,0.000976525,TSG
1GZH,0.036307711,0.001463069,0.962229192,Fusion
1H9D,0.000133019,0.992869914,0.006997071,TSG
1HCQ,0.000119657,7.38E-05,0.999806523,Fusion
1HE7,0.979409158,0.020590667,1.60E-07,OG
1K78,3.21E-05,0.000309287,0.999658644,Fusion
1KZY,0.018389849,0.978537619,0.003072546,TSG
1L2I,0.000396403,0.047668718,0.951934874,Fusion
1LJM,0.742662191,0.257229626,0.000108188,OG
1MDM,0.178756744,0.037599795,0.783643484,Fusion
1PCG,3.27E-05,0.999967277,5.59E-08,TSG
1QKT,0.991377831,0.008162384,0.000459773,OG
1QKU,0.001516578,0.835457385,0.163026065,TSG
1R5K,0.923556983,0.004777236,0.071665764,OG
1SJ0,0.000788188,0.990970254,0.008241531,TSG
1TSR,3.54E-06,0.000422117,0.999574363,Fusion
1TUP,4.64E-07,7.23E-05,0.999927223,Fusion
1UOL,0.794172347,0.190486193,0.015341457,OG
1UOM,0.067879476,0.932112098,8.41E-06,TSG
1WWA,0.103493161,0.206020892,0.690485954,Fusion
1WWW,0.983249485,0.01666359,8.69E-05,OG
1X7E,0.032363713,0.798614204,0.169022083,TSG
1X7R,0.995901883,0.000129016,0.003969118,OG
1XP1,0.018118093,0.94083935,0.041042566,TSG
1XP6,0.002155304,0.986992955,0.01085174,TSG
1XP9,0.007120159,0.992583513,0.000296323,TSG
1XPC,0.009670634,0.863466799,0.126862556,TSG
1XQC,0.002136885,0.997861445,1.67E-06,TSG
1YCS,0.995707095,0.004280993,1.19E-05,OG
1YIM,0.00388597,0.329964757,0.666149259,Fusion
1YIN,0.001998681,0.926768124,0.071233176,TSG
1YVH,0.026199881,0.97378999,1.01E-05,TSG
1YYH,0.998325348,0.00167465,2.66E-09,OG
1ZKY,2.06E-08,0.999995947,4.06E-06,TSG
2AC0,0.00057253,1.04E-08,0.999427438,Fusion
2ADY,0.999934077,5.91E-05,6.87E-06,OG
2AHI,0.111455761,0.088153817,0.800390422,Fusion
2ATA,0.034483608,0.000440563,0.96507585,Fusion
2AYR,0.008746685,0.99048394,0.000769358,TSG
2B02,0.999706447,0.000272498,2.11E-05,OG
2B1V,0.000942208,0.96985805,0.029199759,TSG
2B1Z,0.002387056,0.845060706,0.152552232,TSG
2B23,0.030661238,0.806850851,0.162487939,TSG
2BIM,0.873663366,0.12611638,0.000220297,OG
2BIN,0.998428643,0.001571378,8.44E-09,OG
2BIO,0.912450075,0.087549731,2.10E-07,OG
2BIP,0.999471784,0.000528183,2.05E-08,OG
2BIQ,0.633087754,0.366909206,3.04E-06,OG
2BJ4,0.000324404,0.89597857,0.103697054,TSG
2CBL,0.999943554,7.69E-06,4.87E-05,OG
2F8X,0.047642041,0.952145517,0.000212444,TSG
2F8Y,0.115493923,0.884506047,1.77E-09,TSG
2FAI,0.002467064,0.092887215,0.904645741,Fusion
2G44,0.016322598,0.020960003,0.962717414,Fusion
2G5O,0.001932158,0.849516273,0.148551598,TSG
2H1L,0.000512361,0.990796566,0.00869105,TSG
2HE0,0.985027492,0.014972202,3.36E-07,OG
2I0J,0.926618874,0.00373458,0.069646515,OG
2IFG,3.25E-05,0.999963045,4.40E-06,TSG
2IOG,0.000598174,0.778273404,0.221128404,TSG
2IOK,0.997950494,0.00036516,0.001684345,OG
2J1W,0.987347424,0.012639743,1.28E-05,OG
2J1X,0.960885465,0.039050937,6.36E-05,OG
2J1Y,0.085636824,0.715959668,0.198403537,TSG
2J1Z,0.752737343,0.247136578,0.00012611,OG
2J20,0.136125505,0.863571763,0.000302728,TSG
2J21,0.997628331,0.002365823,5.83E-06,OG
2JF9,0.000953891,0.99758172,0.001464404,TSG
2JFA,2.68E-06,0.792376161,0.207621157,TSG
2OCF,0.011186077,0.985718548,0.003095363,TSG
2OCJ,1.75E-07,0.999999821,1.10E-09,TSG
2OUZ,0.007481127,0.627582014,0.364936829,TSG
2P15,4.59E-06,0.817535758,0.182459652,TSG
2PCX,0.162683532,0.837314069,2.37E-06,TSG
2POG,1.02E-05,0.999988794,9.57E-07,TSG
2PRT,6.00E-05,0.999919653,2.03E-05,TSG
2Q6J,0.004496353,0.34005481,0.655448854,Fusion
2Q70,6.32E-07,0.999999344,3.43E-09,TSG
2QA6,5.89E-07,0.999746144,0.000253296,TSG
2QA8,0.763722897,0.059682921,0.176594168,OG
2QAB,0.523233891,0.395256728,0.081509344,OG
2QE4,1.13E-05,0.9999879,8.48E-07,TSG
2QGT,0.000260084,0.998979867,0.000760067,TSG
2QGW,0.257939398,0.569416583,0.172644064,TSG
2QH6,0.022051916,0.942824304,0.035123777,TSG
2QR9,2.29E-05,0.989790082,0.010186972,TSG
2QSE,0.001577004,0.998384476,3.85E-05,TSG
2QXM,1.30E-06,0.996043146,0.003955584,TSG
2QXS,0.028132357,0.970510244,0.001357402,TSG
2QZO,0.291803539,0.694491029,0.013705468,TSG
2R6W,3.44E-05,0.999964297,1.30E-06,TSG
2R6Y,0.000920828,0.976400495,0.02267867,TSG
2UVL,0.107309148,0.892676294,1.45E-05,TSG
2UZK,4.48E-05,0.996805727,0.003149442,TSG
2VJ3,0.990220428,3.97E-07,0.009779148,OG
2VUK,0.948512733,0.051481355,5.92E-06,OG
2WGX,0.973282337,0.026598969,0.000118715,OG
2X0U,0.925994158,0.073977478,2.83E-05,OG
2X0V,0.99616313,0.003826479,1.04E-05,OG
2X0W,0.731526732,0.268296123,0.000177098,OG
2XWR,0.999958754,3.96E-05,1.63E-06,OG
2Y1M,0.458438724,0.172177896,0.369383365,OG
2Y1N,0.000902085,0.999032795,6.51E-05,TSG
2YAT,0.010632332,0.988600492,0.000767147,TSG
2YBG,0.964701235,0.035127755,0.000171009,OG
2YJA,0.965899348,9.80E-05,0.034002654,OG
2YYN,0.610792935,0.150520444,0.238686636,OG
3BUM,0.018095205,0.003263087,0.978641689,Fusion
3BUN,0.484439909,4.39E-06,0.515555739,Fusion
3BUO,0.186783612,0.007088668,0.806127727,Fusion
3BUW,0.215751529,2.26E-05,0.784225821,Fusion
3BUX,0.005687882,0.99142766,0.002884444,TSG
3CO6,0.032812148,0.966745794,0.000442043,TSG
3CO7,1,1.28E-10,1.38E-09,OG
3COA,0.999999285,7.01E-07,4.12E-08,OG
3D05,0.998602927,0.001396971,9.31E-08,OG
3D06,0.998892963,0.001104895,2.13E-06,OG
3D07,1,1.62E-09,2.01E-09,OG
3D08,0.99998349,1.65E-05,1.50E-09,OG
3D09,0.999991477,7.97E-06,5.77E-07,OG
3D0A,0.001468086,0.998337686,0.000194217,TSG
3DO7,0.982217848,0.015940836,0.001841313,OG
3DT3,0.006746393,0.993253589,4.09E-08,TSG
3DWY,0.170480698,0.829517782,1.50E-06,TSG
3ERD,0.051563349,0.080111504,0.868325114,Fusion
3ERT,0.000704605,0.768904984,0.230390429,TSG
3ETO,0.307794422,0.692186058,1.95E-05,TSG
3F1N,0.999801517,0.000198453,3.96E-09,OG
3F1O,0.999998927,6.90E-07,3.79E-07,OG
3F1P,0.999993443,6.12E-06,4.65E-07,OG
3H7W,0.999995351,4.66E-06,1.06E-12,OG
3H82,0.001483093,0.998269439,0.000247473,TSG
3HLV,0.000166166,0.999505043,0.000328776,TSG
3HM1,0.00344246,0.017198002,0.979359508,Fusion
3IGK,0.999994159,1.02E-09,5.85E-06,OG
3IGL,0.999467075,0.000204385,0.000328523,OG
3KMD,8.63E-07,0.999987364,1.18E-05,TSG
3KZ8,0.285804689,0.001028706,0.713166595,Fusion
3L03,0.032375213,0.786602914,0.181021884,TSG
3L2C,0.007631796,0.991845131,0.000523053,TSG
3L95,0.287452847,0.712494195,5.30E-05,TSG
3NBN,1.93E-08,0.999995291,4.72E-06,TSG
3O33,0.002757578,0.996929467,0.000312939,TSG
3O34,0.000435526,0.999563992,4.64E-07,TSG
3O35,0.999741554,0.000258437,4.35E-09,OG
3O36,0.999610305,0.000389672,1.08E-08,OG
3O37,0.549285233,0.00599675,0.444718003,OG
3OB1,0.904062152,0.001553071,0.094384804,OG
3OB2,0.912071168,0.087841921,8.69E-05,OG
3OS8,0.000770196,0.998234987,0.000994815,TSG
3OS9,0.242670506,0.190449223,0.566880286,Fusion
3OSA,0.013815412,0.003785085,0.982399523,Fusion
3P1C,9.72E-06,0.999954462,3.58E-05,TSG
3P1D,0.940167129,0.059428401,0.000404488,OG
3P1E,0.027556509,0.972439766,3.70E-06,TSG
3P1F,0.001710296,0.987650454,0.01063924,TSG
3PLF,0.089355499,0.551466167,0.359178334,TSG
3Q01,6.35E-07,0.999999285,5.83E-08,TSG
3Q05,0.045704558,0.761579454,0.192716002,TSG
3Q06,0.901638985,0.089145109,0.00921588,OG
3Q95,0.001378409,0.931231558,0.067390062,TSG
3SVH,0.000732268,0.999266565,1.18E-06,TSG
3TS8,0.231352821,0.001870332,0.76677686,Fusion
3UU7,0.03741524,0.167424142,0.795160651,Fusion
3UUA,0.002667179,0.997234106,9.87E-05,TSG
3UUC,0.987808704,0.011881212,0.00031009,OG
3UUD,0.000301598,0.999224186,0.000474212,TSG
3ZME,0.312359422,0.687451065,0.000189504,TSG
4A49,0.188087359,0.811911881,7.40E-07,TSG
4A4B,0.101918802,0.898081183,4.04E-09,TSG
4A4C,1,3.60E-09,1.22E-09,OG
4A9K,0.975910604,0.023555355,0.00053405,OG
4AGL,0.936604679,0.063392058,3.24E-06,OG
4AGM,0.5790205,0.419992536,0.000986972,OG
4AGN,0.932045639,0.067662075,0.000292254,OG
4AGO,0.829246521,0.170437813,0.000315654,OG
4AGP,0.999146819,0.000816209,3.70E-05,OG
4AGQ,0.640475929,0.359248042,0.000275993,OG
4AOJ,0.99986434,0.000135657,6.89E-11,OG
4CUD,0.996184468,0.00370606,0.000109452,OG
4CUE,0.938877881,0.060691427,0.000430676,OG
4CUF,0.993787766,0.005736348,0.000475864,OG
4D0E,0.995740414,0.002808474,0.001451088,OG
4D0F,0.999762177,2.68E-05,0.000211075,OG
4DMA,0.001463487,0.037170056,0.961366475,Fusion
4EQ1,1.08E-05,0.996206641,0.003782558,TSG
4F0I,0.999819517,1.64E-05,0.000164074,OG
4GHI,0.98835963,0.011628386,1.20E-05,OG
4GPL,3.94E-05,1.81E-06,0.999958813,Fusion
4GS9,0.999935687,6.43E-05,2.46E-08,OG
4GT5,0.995080352,0.00491624,3.40E-06,OG
4H6J,0.996382833,0.001215449,0.002401706,OG
4HJE,0.949377537,0.050622381,1.09E-07,OG
4IBQ,0.000721022,0.999275804,3.18E-06,TSG
4IBS,0.232106134,0.058455821,0.709438026,Fusion
4IBT,0.269605577,0.030484434,0.699909985,Fusion
4IBU,8.04E-05,0.999881268,3.83E-05,TSG
4IBV,0.95113039,4.84E-05,0.048821144,OG
4IBW,0.999935567,6.17E-05,2.70E-06,OG
4IBY,0.2320178,0.767943084,3.91E-05,TSG
4IBZ,0.00038464,0.999555469,5.99E-05,TSG
4IJT,0.999640882,0.000345898,1.32E-05,OG
4IU7,0.139792383,0.858504891,0.001702729,TSG
4IUI,0.002533473,0.997449577,1.70E-05,TSG
4IV2,4.91E-07,0.999998987,5.09E-07,TSG
4IV4,1.18E-10,1,9.01E-09,TSG
4IVW,0.001528943,0.169525504,0.828945577,Fusion
4IVY,1.86E-06,0.996429563,0.003568588,TSG
4IW6,0.004497076,0.905893743,0.089609206,TSG
4IW8,1.65E-05,0.999810934,0.00017255,TSG
4IWC,2.26E-09,0.99999994,3.28E-08,TSG
4IWF,4.79E-07,0.999999404,9.36E-08,TSG
4KVP,1.59E-07,0.999999821,1.23E-08,TSG
4LG0,0.46379903,0.536200941,8.29E-09,TSG
4LG9,0.934916854,0.019294897,0.045788269,OG
4LO9,1.33E-06,0.999998689,4.23E-10,TSG
4LOE,5.88E-06,0.999994099,4.00E-09,TSG
4LOF,0.02266595,0.906154633,0.071179427,TSG
4LPZ,0.099115156,0.900884151,6.82E-07,TSG
4MG5,0.001954748,0.988748193,0.009297037,TSG
4MG6,6.44E-05,0.99974525,0.000190375,TSG
4MG7,8.38E-05,0.050558973,0.949357271,Fusion
4MG8,0.02061942,0.377011091,0.602369487,Fusion
4MG9,0.011461858,0.89425832,0.094279818,TSG
4MGA,0.000159652,0.874261916,0.125578418,TSG
4MGB,0.000165674,0.349028081,0.650806248,Fusion
4MGC,0.020592002,0.412923247,0.566484749,Fusion
4MGD,0.002236713,0.904202998,0.093560293,TSG
4MZI,0.998867095,9.88E-05,0.001034139,OG
4MZR,0.999962211,1.22E-05,2.56E-05,OG
4N3W,0.992082596,0.007917103,3.04E-07,OG
4N4F,0.001138047,0.99710387,0.00175811,TSG
4NR4,0.016193597,0.983733416,7.30E-05,TSG
4NR5,0.197415695,0.802564323,2.00E-05,TSG
4NR6,0.007068045,0.992931604,3.54E-07,TSG
4NR7,0.993994534,0.006002652,2.79E-06,OG
4NYV,0.958210766,0.041666903,0.000122354,OG
4NYW,0.620193124,0.379766732,4.01E-05,OG
4NYX,0.946227014,0.051522698,0.00225027,OG
4OT9,0.000749362,0.999197304,5.33E-05,TSG
4OUF,0.172992781,0.826056898,0.0009503,TSG
4PKY,0.99960345,0.00039657,1.22E-09,OG
4PMM,0.999193728,0.000717294,8.90E-05,OG
4PMP,0.999999523,3.20E-07,1.76E-07,OG
4PMS,0.999761939,0.000200951,3.71E-05,OG
4PMT,1,1.14E-09,1.03E-09,OG
4PP6,0.009827366,0.159391746,0.830780864,Fusion
4PPP,2.00E-06,0.999890506,0.000107502,TSG
4PPS,0.003597777,0.996399224,3.01E-06,TSG
4PXM,0.00013945,0.071423285,0.928437293,Fusion
4Q13,0.291822046,0.183507338,0.52467066,Fusion
4Q50,8.10E-06,0.999988317,3.56E-06,TSG
4QO1,0.004386086,0.995612383,1.52E-06,TSG
4R2E,0.99999404,7.68E-08,5.90E-06,OG
4R2P,0.002826958,0.997141242,3.18E-05,TSG
4R2Q,0.014844053,0.984987497,0.000168472,TSG
4R2R,0.999843061,0.000148915,8.05E-06,OG
4R2S,0.466014355,0.000675325,0.533310294,Fusion
4TQN,0.998018265,0.001977375,4.34E-06,OG
4TS8,0.537028313,0.000599913,0.462371767,OG
4TUZ,4.40E-05,0.016043676,0.983912289,Fusion
4TV1,0.035400379,0.59476465,0.369834989,TSG
4W2R,0.015457801,0.976997733,0.007544452,TSG
4WHU,0.999434292,0.000264407,0.000301304,OG
4XI3,0.351286948,0.648621202,9.18E-05,TSG
4XR8,0.958343089,0.041595381,6.15E-05,OG
4XT2,0.99633503,0.003664763,2.22E-07,OG
4YAB,0.807522178,0.192436531,4.13E-05,OG
4YAD,0.999262989,0.000731447,5.59E-06,OG
4YAT,0.992352545,0.007635084,1.24E-05,OG
4YAX,0.999868393,0.000131625,2.51E-10,OG
4YBM,0.999956846,4.30E-05,1.50E-07,OG
4YBS,0.540178359,0.459816337,5.30E-06,OG
4YBT,0.935897648,0.06410078,1.59E-06,OG
4YC9,0.034355,0.965644896,9.13E-08,TSG
4YK0,0.022675831,0.977321506,2.64E-06,TSG
4YNE,0.999998987,9.89E-07,5.80E-09,OG
4YPS,0.999729455,0.000257649,1.29E-05,OG
4ZN7,3.07E-06,0.999468505,0.000528418,TSG
4ZN9,9.11E-05,0.990575433,0.009333433,TSG
4ZNH,1.10E-08,1,3.14E-09,TSG
4ZNS,0.002278842,0.997706234,1.49E-05,TSG
4ZNT,0.020011589,0.628986478,0.351001918,TSG
4ZNU,0.05778252,0.019529266,0.922688186,Fusion
4ZNV,0.00093313,0.996175468,0.002891416,TSG
4ZNW,2.27E-05,0.973833859,0.026143404,TSG
4ZQL,0.000391517,0.999608457,2.22E-08,TSG
5A7B,0.930954874,0.069039322,5.82E-06,OG
5AAU,0.000290646,0.000652569,0.999056756,Fusion
5AB9,0.933783889,0.064102016,0.00211412,OG
5ABA,0.137095183,0.854364932,0.008539894,TSG
5ACC,0.879462659,0.120262496,0.00027483,OG
5AK2,0.880048394,0.119797036,0.000154556,OG
5AOI,0.768654108,0.231343597,2.28E-06,OG
5AOJ,0.843252718,0.156627163,0.000120117,OG
5AOK,0.703969955,0.295957237,7.28E-05,OG
5AOL,0.86138016,0.138516545,0.000103321,OG
5AOM,0.069411755,0.930265844,0.000322379,TSG
5BUA,0.524545372,0.020949492,0.454505116,OG
5CGP,0.95419234,0.038316619,0.007491018,OG
5DBM,0.99922055,0.000435918,0.000343521,OG
5DI7,0.00499315,0.427607983,0.567398906,Fusion
5DID,0.000563099,0.998422325,0.001014553,TSG
5DIE,1.82E-05,0.999977529,4.26E-06,TSG
5DIG,4.95E-05,0.542182744,0.457767814,TSG
5DK9,0.002787727,0.931398034,0.065814234,TSG
5DKB,3.45E-06,0.999723256,0.00027332,TSG
5DKE,0.006583542,0.992485166,0.000931308,TSG
5DKG,5.40E-05,0.008415742,0.99153024,Fusion
5DKS,1.20E-05,0.999985158,2.89E-06,TSG
5DL4,0.000156438,0.999616802,0.000226789,TSG
5DLR,0.08218091,0.895847201,0.021971866,TSG
5DMC,4.12E-06,0.999992907,2.95E-06,TSG
5DMF,0.00752349,0.040866662,0.95160985,Fusion
5DP0,2.22E-06,0.999992609,5.15E-06,TSG
5DRJ,5.86E-05,0.999940813,6.17E-07,TSG
5DRM,1.35E-05,0.99973911,0.000247343,TSG
5DTV,2.01E-08,0.999999523,4.51E-07,TSG
5DU5,0.000237204,0.999754429,8.38E-06,TSG
5DUE,5.47E-06,0.999994457,8.13E-08,TSG
5DUG,4.06E-05,0.99995923,2.19E-07,TSG
5DUH,9.21E-05,0.999825895,8.20E-05,TSG
5DUI,0.999988794,1.06E-05,5.41E-07,OG
5DVS,0.000142896,0.999806643,5.05E-05,TSG
5DVV,0.342454731,0.65689224,0.000653079,TSG
5DWE,1.08E-05,0.999964654,2.45E-05,TSG
5DWG,0.001371122,0.949720502,0.048908379,TSG
