		Probabilities of Method_1 pikles
Uni_gene_ID	, OG	, TSG	, Fusion	Class
Hs.132966	,0.95	,0.05	,0.0	, ONGO
Hs.160411	,1.0	,0.0	,0.0	, ONGO
Hs.165950	,1.0	,0.0	,0.0	, ONGO
Hs.195659	,0.93	,0.07	,0.0	, ONGO
Hs.244723	,1.0	,0.0	,0.0	, ONGO
Hs.338207	,0.99	,0.0	,0.01	, ONGO
Hs.37003	,0.99	,0.01	,0.0	, ONGO
Hs.370770	,0.85	,0.0	,0.15	, ONGO
Hs.413812	,0.88	,0.06	,0.06	, ONGO
Hs.431850	,0.94	,0.05	,0.01	, ONGO
Hs.437846	,0.5	,0.5	,0.0	, ONGO_TSG
Hs.443731	,1.0	,0.0	,0.0	, ONGO
Hs.470316	,1.0	,0.0	,0.0	, ONGO
Hs.479754	,1.0	,0.0	,0.0	, ONGO
Hs.479756	,0.93	,0.06	,0.0	, ONGO
Hs.486502	,1.0	,0.0	,0.0	, ONGO
Hs.505033	,0.95	,0.05	,0.0	, ONGO
Hs.506852	,0.96	,0.04	,0.0	, ONGO
Hs.507590	,0.82	,0.02	,0.16	, ONGO
Hs.515247	,0.98	,0.02	,0.0	, ONGO
Hs.525622	,1.0	,0.0	,0.0	, ONGO
Hs.591742	,0.91	,0.09	,0.0	, ONGO
Hs.593413	,0.99	,0.01	,0.0	, ONGO
Hs.593422	,0.88	,0.05	,0.06	, ONGO
Hs.596461	,0.99	,0.01	,0.0	, ONGO
Hs.597664	,1.0	,0.0	,0.0	, ONGO
Hs.622058	,0.99	,0.01	,0.01	, ONGO
Hs.626666	,0.51	,0.02	,0.47	, ONGO_Fusion
Hs.631535	,0.94	,0.06	,0.0	, ONGO
Hs.631630	,0.91	,0.06	,0.03	, ONGO
Hs.646917	,1.0	,0.0	,0.0	, ONGO
Hs.648101	,1.0	,0.0	,0.0	, ONGO
Hs.677223	,0.97	,0.0	,0.03	, ONGO
Hs.706627	,1.0	,0.0	,0.0	, ONGO
Hs.715871	,1.0	,0.0	,0.0	, ONGO
Hs.726012	,0.58	,0.06	,0.36	, ONGO_Fusion
Hs.731652	,0.98	,0.02	,0.0	, ONGO
Hs.732394	,0.49	,0.49	,0.02	, ONGO_TSG
Hs.733536	,0.98	,0.01	,0.01	, ONGO
Hs.76704	,1.0	,0.0	,0.0	, ONGO
Hs.82116	,0.74	,0.25	,0.01	, ONGO_TSG
Hs.95577	,0.94	,0.06	,0.0	, ONGO
Hs.97439	,1.0	,0.0	,0.0	, ONGO
