Protein,OG,TSG,Fusion,Label
1A02,0.122318976,0.877670348,1.07E-05,TSG
1A1X,0.008233478,1.65E-08,0.991766512,Fusion
1A81,0.998532593,3.43E-05,0.001433077,OG
1AGW,0.999231756,0.000662764,0.000105509,OG
1B72,0.98752147,0.011777615,0.000700917,OG
1BC7,0.316055298,0.682298958,0.001645753,TSG
1BC8,0.99459213,0.005400502,7.35E-06,OG
1BHF,0.000449114,0.999549448,1.44E-06,TSG
1BI7,8.77E-06,0.999990404,8.19E-07,TSG
1BI8,0.063609995,0.85947758,0.076912388,TSG
1BLX,0.999999881,1.26E-07,1.36E-08,OG
1CVS,0.000595888,0.999403954,1.35E-07,TSG
1CWD,0.106847472,0.81052506,0.082627438,TSG
1CWE,0.848151684,0.151843175,5.15E-06,OG
1DJS,0.007506225,0.99225986,0.000233934,TSG
1DKF,0.01013992,0.989859939,1.55E-07,TSG
1DSZ,0.999988019,1.79E-07,1.18E-05,OG
1E0O,0.976177633,0.023637136,0.000185228,OG
1EV2,0.306960791,0.317411482,0.375627756,Fusion
1EVT,0.99928689,0.000709836,3.29E-06,OG
1FBZ,0.036396109,0.963583887,2.00E-05,TSG
1FGI,0.998019993,0.001959875,2.01E-05,OG
1FGK,0.994295716,2.57E-08,0.00570426,OG
1FQ9,0.159558684,0.840441287,1.75E-08,TSG
1G3J,0.008896075,0.991102278,1.66E-06,TSG
1G3N,0.000255774,0.996375918,0.003368328,TSG
1GJO,0.999982893,1.39E-05,3.21E-06,OG
1HBX,0.913807571,0.08618512,7.30E-06,OG
1II4,0.998788059,0.000234446,0.000977485,OG
1IIL,0.999961972,3.34E-06,3.47E-05,OG
1IJR,0.999973953,1.36E-05,1.24E-05,OG
1JDH,0.876203299,0.123698026,9.87E-05,OG
1JOW,0.999992728,2.38E-07,7.04E-06,OG
1JPW,0.038934838,0.44940716,0.511657953,Fusion
1JSG,0.000401934,0.921377897,0.078220181,TSG
1K1A,0.986388087,0.013611923,1.71E-08,OG
1K1B,0.999664247,0.000335743,2.62E-08,OG
1K6O,0.999982417,1.62E-06,1.60E-05,OG
1LCJ,0.324195921,0.608780026,0.067024052,TSG
1LKK,0.807647586,0.056687944,0.135664463,OG
1LKL,0.990549564,0.009409825,4.06E-05,OG
1LUJ,0.994107842,0.00589215,3.06E-08,OG
1N8Z,0.94304955,0.055123873,0.001826553,OG
1NKP,2.59E-07,0.002579757,0.997420013,Fusion
1NUN,0.159445852,0.840036094,0.000518045,TSG
1OEC,0.999014556,0.000985366,7.12E-08,OG
1OPL,0.007258304,0.91470468,0.078037024,TSG
1OWR,0.451550871,0.547545671,0.000903451,TSG
1P7H,0.188196406,0.811188221,0.000615359,TSG
1PDG,0.999863148,1.69E-12,0.00013684,OG
1PZU,0.915423751,0.083327293,0.001248968,OG
1QPC,1,5.64E-11,4.36E-09,OG
1QPD,1,2.15E-10,2.78E-08,OG
1QPE,1,2.50E-11,3.70E-11,OG
1QPJ,0.968036532,7.73E-07,0.031962682,OG
1QZ7,0.971240342,0.028759411,2.64E-07,OG
1R28,0.501049817,0.497570753,0.001379427,OG
1R29,0.998781264,9.53E-07,0.001217784,OG
1R2B,0.999981463,1.83E-05,2.38E-07,OG
1RY7,0.934980154,0.065018483,1.39E-06,OG
1S78,0.141537622,0.858220458,0.000241942,TSG
1S9K,0.383555502,0.616316974,0.000127546,TSG
1T08,0.98769486,0.012305149,6.48E-09,OG
1TH1,1.96E-06,0.999998033,1.22E-08,TSG
1UWH,0.22672601,0.00362162,0.769652367,Fusion
1UWJ,0.712489426,0.287477791,3.28E-05,OG
1VEC,0.999993801,6.18E-06,3.51E-08,OG
1WWC,0.000188314,0.999803901,7.78E-06,TSG
1X27,0.738568366,0.25981766,0.001613953,OG
1XBA,0.999997973,1.49E-06,5.17E-07,OG
1XBB,0.99998343,1.63E-05,1.98E-07,OG
1XBC,1,1.35E-08,2.56E-09,OG
1XO2,0.999999881,1.84E-11,9.71E-08,OG
1XQZ,0.366292834,0.633707166,4.72E-10,TSG
1XR1,0.08964929,0.91035068,2.50E-10,TSG
1XWS,0.999806106,0.000191544,2.36E-06,OG
1YHS,0.98263973,0.017354125,6.12E-06,OG
1YI3,0.999988139,1.18E-05,7.23E-08,OG
1YI4,0.999837101,0.000162749,1.61E-07,OG
1YWV,0.968356431,0.031643599,1.09E-13,OG
1YXS,0.977762103,0.022237904,1.33E-12,OG
1YXT,0.955732584,0.044266883,5.08E-07,OG
1YXU,0.928150177,0.059980787,0.01186901,OG
1YXV,0.980110884,0.019889062,2.81E-08,OG
1YXX,0.137582913,0.862417102,1.55E-12,TSG
2A91,0.999994457,5.53E-06,4.65E-11,OG
2ABL,0.999996662,2.39E-06,9.34E-07,OG
2AS5,0.124536008,0.011398314,0.864065707,Fusion
2B4J,0.995128751,0.004870897,3.26E-07,OG
2B7A,0.999867558,0.000131124,1.34E-06,OG
2BIK,0.999982476,1.72E-05,3.07E-07,OG
2BIL,0.999999702,2.87E-07,3.28E-08,OG
2BZH,0.725318134,0.262594998,0.012086852,OG
2BZI,0.974202394,0.02517865,0.000618946,OG
2BZJ,0.912749171,0.087248296,2.55E-06,OG
2BZK,0.996049345,0.000133598,0.003817054,OG
2C3I,0.00135884,0.663066804,0.335574359,TSG
2E2B,0.999999106,8.20E-07,5.30E-08,OG
2E50,0.971493661,0.006665204,0.021841122,OG
2EUF,0.087555446,0.039152868,0.873291671,Fusion
2F2C,0.039207302,0.082739212,0.878053486,Fusion
2F4J,0.999850571,0.000149318,1.35E-07,OG
2FB8,0.999997199,2.75E-06,6.71E-08,OG
2FCB,9.24E-06,0.999990642,1.44E-07,TSG
2FDB,0.999702096,0.00029604,1.86E-06,OG
2FGI,0.999765098,1.48E-05,0.000220106,OG
2FO0,0.001067192,0.998910785,2.20E-05,TSG
2G1T,0.812758982,0.153799295,0.033441693,OG
2G2F,1,1.40E-08,2.06E-10,OG
2G2H,1,5.60E-09,2.56E-11,OG
2G2I,0.999974847,1.21E-05,1.30E-05,OG
2G7R,0.999820411,1.60E-05,0.00016355,OG
2GL7,0.222723007,0.777080357,0.000196613,TSG
2GQG,8.05E-05,0.999027014,0.000892526,TSG
2HIW,0.9970029,0.002995396,1.71E-06,OG
2HQE,0.999996901,2.95E-06,1.60E-07,OG
2HQX,0.999301553,1.37E-06,0.000697096,OG
2HYY,0.400734961,0.594023585,0.005241469,TSG
2HZ0,0.013295696,0.98670429,1.30E-09,TSG
2HZ4,0.000106115,0.999893904,8.79E-09,TSG
2HZI,0.999996841,3.13E-06,3.95E-08,OG
2IVS,0.999989569,1.00E-05,4.25E-07,OG
2IVT,0.265315831,9.05E-07,0.734683216,Fusion
2IVU,0.999364316,0.000590505,4.51E-05,OG
2IVV,0.844792247,9.56E-08,0.155207634,OG
2J2I,0.998007119,0.001992721,1.51E-07,OG
2NO2,0.999623656,0.00037627,7.10E-08,OG
2NXB,0.999994636,2.08E-06,3.28E-06,OG
2O3P,0.731646955,0.268353075,4.53E-10,OG
2O63,0.992604554,0.007395439,4.71E-09,OG
2O64,0.994183004,0.005817024,4.86E-11,OG
2O65,0.200724706,0.799275279,8.14E-12,TSG
2O93,0.085658878,0.001701619,0.912639499,Fusion
2OBJ,0.906027734,0.093896359,7.59E-05,OG
2OF2,1,2.52E-11,7.28E-10,OG
2OF4,1,4.44E-12,1.72E-10,OG
2OFU,1,2.77E-14,2.25E-11,OG
2OFV,0.998346806,0.001651666,1.55E-06,OG
2OG8,0.999996126,3.69E-06,2.07E-07,OG
2OI4,0.998128235,0.001826321,4.54E-05,OG
2OO1,0.999432623,0.000538753,2.86E-05,OG
2OSS,0.004361021,0.995638728,2.54E-07,TSG
2OUO,0.854984879,0.011414548,0.133600593,OG
2OZU,0.998904526,0.001095328,1.40E-07,OG
2P1B,0.000102485,0.999781668,0.000115842,TSG
2PL0,0.999967039,3.27E-05,2.24E-07,OG
