Protein,OG,TSG,Fusion,Label
1CW3,0.362266928,0.268869281,0.368863791,Fusion
1CX8,0.004398592,0.991644502,0.003956879,TSG
1DE4,8.06E-09,0.999999762,2.36E-07,TSG
1NZW,0.541569829,0.458271146,0.000158976,OG
1NZX,0.006643798,0.992379546,0.000976645,TSG
1NZZ,0.273491055,0.726417601,9.13E-05,TSG
1O00,0.428350151,0.57161659,3.33E-05,TSG
1O01,0.028341627,0.971294522,0.000363838,TSG
1O02,0.059183516,0.940686762,0.000129729,TSG
1O04,0.052091531,0.946885824,0.001022646,TSG
1O05,0.725976229,0.27226603,0.001757768,OG
1PSR,0.01499267,0.982577026,0.002430327,TSG
1ZUM,0.023719428,0.116706088,0.859574497,Fusion
2EFL,0.999888122,0.000109524,2.34E-06,OG
2ONM,0.200711578,0.118991032,0.680297375,Fusion
2ONN,0.155853629,0.837254167,0.0068922,TSG
2ONO,9.53E-05,0.126189217,0.87371552,Fusion
2ONP,0.132740319,0.867181361,7.83E-05,TSG
2PSR,0.670585871,0.329368472,4.57E-05,OG
2QAG,0.10815151,0.886108935,0.005739541,TSG
2VLE,0.191884443,0.807842314,0.00027327,TSG
2VPI,0.999643862,0.000337785,1.84E-05,OG
2VXO,0.998882294,0.000861275,0.000256436,OG
2WND,0.033846382,0.966106415,4.72E-05,TSG
2WOR,0.00021842,0.002190405,0.997591197,Fusion
2WOS,0.999872804,9.96E-05,2.76E-05,OG
3BJI,0.79332751,0.169828236,0.036844242,OG
3INJ,0.074572369,0.835920036,0.08950761,TSG
3INL,0.12902528,0.823581219,0.047393523,TSG
3KAS,0.994557977,0.005440209,1.81E-06,OG
3KH0,0.001563361,0.993636012,0.004800629,TSG
3KY9,0.996436298,0.003334916,0.000228787,OG
3N80,0.945938826,0.05342593,0.000635232,OG
3N81,0.567690611,0.432168365,0.000140978,OG
3N82,0.016722813,0.983276665,4.95E-07,TSG
3N83,0.094799928,0.904676199,0.000523889,TSG
3PSR,0.195833072,0.804166079,8.40E-07,TSG
3S9L,0.14593266,0.1234584,0.73060894,Fusion
3S9M,0.070732541,0.477237731,0.452029705,TSG
3S9N,0.000660223,0.995350838,0.003988958,TSG
3SZ9,0.522116721,0.473211676,0.004671586,OG
4AE2,0.005011094,0.994564176,0.000424753,TSG
4AEJ,0.991687417,0.006317615,0.001994953,OG
4AK3,0.001719687,0.998280227,5.74E-08,TSG
4AQJ,0.929860473,0.069916189,0.00022331,OG
4FQF,0.998497665,0.001399201,0.000103118,OG
4FR8,0.013319511,0.946958601,0.039721884,TSG
4KWF,0.235033855,0.761887908,0.003078214,TSG
4KWG,0.014429018,0.301858336,0.683712602,Fusion
4YQF,3.32E-06,0.999995887,8.19E-07,TSG
5CYO,0.00336956,0.993344784,0.003285636,TSG
5CYP,0.004786925,0.99211657,0.003096508,TSG
5L13,0.114318572,0.878534675,0.007146752,TSG
